experiment_folder,filename,plasmid,amount
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos0_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos1_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos2_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos3_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos4_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos5_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos6_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos7_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos8_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_250ng_1_MMStack_Pos9_MIP.tif,NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos0_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos1_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos10_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos11_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos2_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos3_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos4_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos5_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos6_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos7_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos8_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_NT-EGFP_TLP1c_50ng_1_MMStack_Pos9_MIP.tif,NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos0_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos1_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos10_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos11_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos12_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos13_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos2_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos3_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos4_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos5_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos6_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos7_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos8_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_250ng_1_MMStack_Pos9_MIP.tif,pDIMMER_NT-EGFP_TLP1c,250ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos0_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos1_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos10_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos11_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos12_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos13_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos2_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos3_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos4_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos5_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos6_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos7_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos8_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng
071620204_pDIMMER_test,07162024_HCT116_pDIMMER_NT-EGFP_TLP1c_50ng_1_MMStack_Pos9_MIP.tif,pDIMMER_NT-EGFP_TLP1c,50ng